Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
27045000008,Rua do Cemitério - Maragogi (AL),AL,Rua do Cemitério,Maragogi,105
27045000009,Cerâmica - Maragogi (AL),AL,Cerâmica,Maragogi,67
27045000010,Deda Paes - Maragogi (AL),AL,Deda Paes,Maragogi,238
27047080001,Cabreiras - Marechal Deodoro (AL),AL,Cabreiras,Marechal Deodoro,245
27047080003,Vila São Vicente - Marechal Deodoro (AL),AL,Vila São Vicente,Marechal Deodoro,101
27047080005,Georgina Novaes - Marechal Deodoro (AL),AL,Georgina Novaes,Marechal Deodoro,129
27047080019,Baixa Da Sapa - Marechal Deodoro (AL),AL,Baixa Da Sapa,Marechal Deodoro,222
27047080020,Rua da Paz - Marechal Deodoro (AL),AL,Rua da Paz,Marechal Deodoro,88
27051010004,Alto do Céu - Matriz de Camaragibe (AL),AL,Alto do Céu,Matriz de Camaragibe,118
27063070002,Tenorio Cavalcante - Palmeira dos Índios (AL),AL,Tenorio Cavalcante,Palmeira dos Índios,94
27063070004,Alto Do Cruzeiro - Palmeira dos Índios (AL),AL,Alto Do Cruzeiro,Palmeira dos Índios,67
27064480001,Alto da Boa Vista - Paripueira (AL),AL,Alto da Boa Vista,Paripueira,193
27067030001,Conjunto Ivana Toledo - Areal - Penedo (AL),AL,Conjunto Ivana Toledo - Areal,Penedo,66
27067030002,Rua Manoel Tavares - Matadouro - Penedo (AL),AL,Rua Manoel Tavares - Matadouro,Penedo,389
27067030003,Bairro Senhor Do Bonfim - Coreia - Penedo (AL),AL,Bairro Senhor Do Bonfim - Coreia,Penedo,83
27073050001,Bau Mariano/Bomba - Porto Calvo (AL),AL,Bau Mariano/Bomba,Porto Calvo,89
27074040001,Capoeira - Porto de Pedras (AL),AL,Capoeira,Porto de Pedras,129
27074040003,Lages - Porto de Pedras (AL),AL,Lages,Porto de Pedras,121
27074040006,Capoeira da Palmeira - Porto de Pedras (AL),AL,Capoeira da Palmeira,Porto de Pedras,134
27077010001,Cidade de Deus - Rio Largo (AL),AL,Cidade de Deus,Rio Largo,402
27077010003,Beiju de Coco - Rio Largo (AL),AL,Beiju de Coco,Rio Largo,132
27077010004,Biquinha - Rio Largo (AL),AL,Biquinha,Rio Largo,490
27077010005,Rua do Amor e Rua São José - Rio Largo (AL),AL,Rua do Amor e Rua São José,Rio Largo,79
27077010010,Loteamento Palmares - Rio Largo (AL),AL,Loteamento Palmares,Rio Largo,317
27077010011,Loteamento Vila Rica I - Rio Largo (AL),AL,Loteamento Vila Rica I,Rio Largo,226
27077010012,Loteamento Tabajara - Rio Largo (AL),AL,Loteamento Tabajara,Rio Largo,108
27077010013,Santa Maria - Rio Largo (AL),AL,Santa Maria,Rio Largo,74
27085010001,Quitunde 2 - São Luís do Quitunde (AL),AL,Quitunde 2,São Luís do Quitunde,103
27085010002,Baixa da Gaia - São Luís do Quitunde (AL),AL,Baixa da Gaia,São Luís do Quitunde,839
27085010003,Alto Redentor - São Luís do Quitunde (AL),AL,Alto Redentor,São Luís do Quitunde,117
27085010006,Dendê - São Luís do Quitunde (AL),AL,Dendê,São Luís do Quitunde,93
27085010007,Povoado Subestação - São Luís do Quitunde (AL),AL,Povoado Subestação,São Luís do Quitunde,72
27085010008,Rua da Creche - São Luís do Quitunde (AL),AL,Rua da Creche,São Luís do Quitunde,165
27085010010,Ormindo Monte - São Luís do Quitunde (AL),AL,Ormindo Monte,São Luís do Quitunde,139
27085010014,Rua Ambrósio Cavalcante Marques - São Luís do Quitunde (AL),AL,Rua Ambrósio Cavalcante Marques,São Luís do Quitunde,196
27087090001,Rua da Pulga - São Miguel dos Milagres (AL),AL,Rua da Pulga,São Miguel dos Milagres,77
28003080004,Vila Socó - Pantanal - Aracaju (SE),SE,Vila Socó - Pantanal,Aracaju,220
28003080006,Coqueiral - Aracaju (SE),SE,Coqueiral,Aracaju,3010
28003080007,Ocupação da Matinha - Aracaju (SE),SE,Ocupação da Matinha,Aracaju,266
28003080008,Água Fina - Aracaju (SE),SE,Água Fina,Aracaju,261
28003080009,Ocupação São Carlos - Aracaju (SE),SE,Ocupação São Carlos,Aracaju,2055
28003080010,Invasão das Mangueiras - Aracaju (SE),SE,Invasão das Mangueiras,Aracaju,152
28003080011,Ocupação Morro Marcelo Rossi - Aracaju (SE),SE,Ocupação Morro Marcelo Rossi,Aracaju,560
28003080014,Ocupação do Canal do Médici - Aracaju (SE),SE,Ocupação do Canal do Médici,Aracaju,58
28003080016,São Conrado - Aracaju (SE),SE,São Conrado,Aracaju,4481
28003080017,Estrela do Oriente - Aracaju (SE),SE,Estrela do Oriente,Aracaju,1090
28003080018,Anchietão A - Aracaju (SE),SE,Anchietão A,Aracaju,333
28003080019,Codise - Aracaju (SE),SE,Codise,Aracaju,466
28003080021,Marivan - Prainha - Aracaju (SE),SE,Marivan - Prainha,Aracaju,111
